component,r2,adj_r2,n_predictors,partial_r2_over_other_main_effects,adj_partial_r2_over_other_main_effects,permutation_p_value,type
all_main_effects,0.20717910919332272,0.1447444640422969,63,0.20717910919332272,0.1447444640422969,,combined
model:benchmark,0.6442578289954187,0.2843694788415999,434,0.437078719802096,0.139625014799303,,interaction_increment
model,0.12488046300290512,0.11772411164895691,7,0.10645070911651833,0.10641904983376882,0.0,main_effect
agent:benchmark,0.41646793731620013,0.21437102949123354,222,0.2092888281228774,0.06962656544893664,,interaction_increment
benchmark,0.0813033205171857,0.02119106864979159,53,0.08130332051718481,0.029116321454363714,,main_effect
model:agent,0.2212285789597216,0.15461668382671667,68,0.01404946976639887,0.009872219784419767,,interaction_increment
agent,0.019425079559618585,0.016004469372035812,3,0.00099532567323235,-0.002125529952520022,0.79,main_effect
