analysis,primary_matrix,processed_output
coverage filtering,raw benchmark matrix column stats,data/processed/intermediate/benchmark_column_quality.csv
agent+model aggregate leaderboard,raw benchmark scores,data/processed/intermediate/benchmark_raw_matrix.csv
per-benchmark mini-leaderboards,raw benchmark scores,data/processed/intermediate/benchmark_raw_matrix.csv
model vs agent roles,benchmark-relative normalized scores,data/processed/intermediate/benchmark_normalized_matrix.csv
benchmark predictability and similarity,benchmark-relative normalized scores,data/processed/intermediate/benchmark_normalized_matrix.csv
terminus harness deltas,benchmark-relative normalized scores,data/processed/intermediate/benchmark_normalized_matrix.csv
task similarity and representatives,raw task scores (filtered to reliable bounded tasks),data/processed/intermediate/task_raw_matrix.csv
HaborMix candidate selection,task item statistics from raw scores,data/processed/intermediate/task_item_stats.csv
