ForgeCode  (From: terminalbench_2_0.json)
FRIDAY  (From: gaia.json)
FrogBoss-32B-2510  (From: swe_bench_verified.json)
FrogMini-14B-2510  (From: swe_bench_verified.json)
FunSearch-PDE  (From: codepde.json)
Genloop's Sentinel Agent v1.5  (From: spider_2.json)
Genloop's Sentinel Agent v2  (From: spider_2.json)
Genloop's Sentinel Agent v2 Pro  (From: spider_2.json)
GLM-4.5  (From: swe_bench_verified.json)
GLM-4.6  (From: swe_bench_verified.json)
Google Jules  (From: swe_bench_verified.json)
goose  (From: sldbench.json)
Goose  (From: terminalbench_2_0.json)
GPT-4 + plugins (human-selected)  (From: gaia.json)
gpt-oss native toolset  (From: browsecomp_plus.json)
GRASP + Reforce  (From: spider_2.json)
grok-cli  (From: terminalbench_2_0.json)
Gru(2024-08-24)  (From: swe_bench_verified.json)
Gru(2024-12-08)  (From: swe_bench_verified.json)
h2oGPTe Agent v1.6.27 | March 17 original date  (From: gaia.json)
h2oGPTe Agent v1.6.33  (From: gaia.json)
h2oGPTe Agent v1.6.44  (From: gaia.json)
h2oGPTe Agent v1.6.8  (From: gaia.json)
HAL Generalist Agent  (From: scienceagentbench.json, usaco.json)
HALO V1217-1  (From: gaia.json)
Harness AI  (From: swe_bench_verified.json)
Honeycomb  (From: swe_bench_verified.json)
Hugging Face Agents + GPT-4o  (From: gaia.json)
human  (From: sldbench.json)
II-Agent  (From: terminalbench_2_0.json)
IndusAGI Coding Agent  (From: terminalbench_2_0.json)
IterativeAgent  (From: paperbench.json)
IterativeAgent, 36-hour limit  (From: paperbench.json)
JoinAI_V2.2  (From: gaia.json)
JoyCode  (From: swe_bench_verified.json)
Junie CLI  (From: terminalbench_2_0.json)
KDGCCloud-KCILab  (From: spider_2.json)
Kimi Agent  (From: cybergym.json)
Kyra  (From: spreadsheetbench.json)
LeAgent_v1.0  (From: gaia.json)
Learn-by-interact  (From: swe_bench_verified.json)
Lemon  (From: gaia.json)
Letta Code  (From: terminalbench_2_0.json)
LIBRO  (From: swt_bench.json)
Lingma Agent  (From: swe_bench_verified.json)
LingXi Agent  (From: spider_2.json)
Lingxi v1.5 x Kimi K2  (From: swe_bench_verified.json)
Lingxi-v1.5_claude-4-sonnet-20250514  (From: swe_bench_verified.json)
LinkAlign  (From: spider_2.json)
live-SWE-agent  (From: swe_bench_verified.json)
LogicStar AI  (From: swt_bench.json)
Magentic-1  (From: gaia.json)
Magentic-1 (o1)  (From: gaia.json)
Magentic-UI  (From: gaia.json)
MagentLess  (From: multi_swe_bench.json)
