match_status,n,mean_delta,median_delta,std_delta
matched_model_agent_mismatch,11,0.05647950314591865,-0.07035811987235213,0.2948314094131228
matched_model_and_agent,1,0.06267926874999996,0.06267926874999996,
matched_model_only_doc_no_agent,16,0.2347123125,0.20077899999999999,0.21533089914755807
