superdomain,n_benchmarks,mean_best_score,mean_all_scores,median_all_scores,std_all_scores
Agentic,25,0.65811632,0.4263515414507772,0.43035599999999996,0.2399926656955641
Modified Agentic,11,0.7050826363636363,0.4776844204545455,0.4411345,0.2720418940179619
Non-Agentic,19,0.8515989473684212,0.6667088377483443,0.7433274999999999,0.28946329688759603
