domain,n_benchmarks,mean_best_score,mean_all_scores,median_all_scores,std_all_scores,min_best_score
Mathematics & Reasoning,6,0.9197958333333333,0.7477686770833333,0.8455714999999999,0.27788421920084716,0.766667
Safety & Security,2,0.8518055,0.8483465714285714,0.910278,0.1397329401089199,0.733333
Knowledge & Long Context,5,0.812166,0.5712750375,0.6548825,0.2980055096450166,0.54083
Software Engineering,17,0.7364815882352941,0.5308781918819188,0.486667,0.30399253068203014,0.366747
Professional Domains,6,0.7333198333333333,0.5126866276595745,0.5373725,0.20669470138819987,0.643333
Multimodal,1,0.703333,0.5756250624999999,0.6133335,0.1438060057266684,0.703333
Scientific Research,8,0.6713825,0.376247609375,0.388676,0.234521599359114,0.48
"Agents, Tools & Systems",8,0.6452416249999999,0.4263431640625,0.42121200000000003,0.2282881003880697,0.380559
Data & Analytics,2,0.4747745,0.3561665,0.346354,0.14363448974898055,0.395833
