domain,superdomains,n_benchmarks,mean_relative_improvement,median_relative_improvement,mean_relative_improvement_pct,median_relative_improvement_pct,mean_absolute_improvement,median_absolute_improvement,mean_launch_best_score,mean_harbor_best_score
Safety & Security,Non-Agentic,1,96.02779999999991,96.02779999999991,9602.779999999992,9602.779999999992,0.960278,0.960278,0.010000000000000009,0.970278
Data & Analytics,Agentic; Modified Agentic,2,1.4515415999590804,1.4515415999590804,145.15415999590803,145.15415999590803,0.2581745,0.2581745,0.21660000000000001,0.4747745
Knowledge & Long Context,Non-Agentic,4,1.8896659239587188,1.3599741971622836,188.96659239587188,135.99741971622836,0.405997,0.489915,0.4215,0.827497
Scientific Research,Agentic; Modified Agentic; Non-Agentic,7,4.640254098918766,1.2857142857142858,464.02540989187656,128.57142857142858,0.25504729285714284,0.35532299999999994,0.3884824214285714,0.6435297142857143
Software Engineering,Agentic; Modified Agentic; Non-Agentic,15,3.521499183248143,1.1276595744680853,352.1499183248143,112.76595744680853,0.4207614049669182,0.40198,0.3481151950330818,0.7688766
Mathematics & Reasoning,Non-Agentic,6,8.127361203525977,0.44382731608251286,812.7361203525976,44.382731608251284,0.3090247641509434,0.27513899999999997,0.6107710691823899,0.9197958333333333
Multimodal,Non-Agentic,1,0.2811165755919853,0.2811165755919853,28.111657559198527,28.111657559198527,0.15433299999999994,0.15433299999999994,0.549,0.703333
"Agents, Tools & Systems",Agentic; Non-Agentic,6,0.8307556278885846,0.1592937136424882,83.07556278885846,15.92937136424882,0.15048530357885978,0.1015025,0.5460933630878069,0.6965786666666668
Professional Domains,Agentic,3,1.0292165930756436,0.0059144634525660975,102.92165930756435,0.5914463452566098,0.19403433333333334,0.003803000000000001,0.5132333333333333,0.7072676666666666
