harbor_agent,n,mean_delta,median_delta,std_delta
claude-code,5,0.23578463235408903,0.199558,0.19248030506557676
codex,5,0.17165177602552956,0.09475700000000001,0.26298628858715206
gemini-cli,4,0.1990767454136148,0.144215,0.2958523124354954
terminus-2,14,0.11470441284303946,0.06992094651022271,0.2814489389274738
